=== MATCH SCHEDULE FOR SATURDAY ===
01:00 PM - 01:30 PM | DXD26  | Court 7
01:00 PM - 01:30 PM | DXD27  | Court 8
01:00 PM - 01:30 PM | DXD28  | Court 9
01:00 PM - 01:30 PM | DXD29  | Court 10
01:30 PM - 02:00 PM | DXD30  | Court 15
01:30 PM - 02:00 PM | DXD31  | Court 16
01:30 PM - 02:00 PM | DWS2   | Court 17
01:30 PM - 02:00 PM | DWS4   | Court 17
01:30 PM - 02:00 PM | DWS6   | Court 11
01:30 PM - 02:00 PM | DWS7   | Court 12
01:30 PM - 02:00 PM | DWS8   | Court 13
01:30 PM - 02:00 PM | DWS9   | Court 14
01:30 PM - 02:00 PM | DWS10  | Court 1
01:30 PM - 02:00 PM | DWS11  | Court 2
01:30 PM - 02:00 PM | DWS13  | Court 3
01:30 PM - 02:00 PM | DWS14  | Court 4
01:30 PM - 02:00 PM | DWS15  | Court 5
01:30 PM - 02:00 PM | CMS97  | Court 6
01:30 PM - 02:00 PM | CMS98  | Court 7
01:30 PM - 02:00 PM | CMS99  | Court 8
01:30 PM - 02:00 PM | CMS100 | Court 9
01:30 PM - 02:00 PM | CMS101 | Court 10
02:00 PM - 02:30 PM | CMS102 | Court 15
02:00 PM - 02:30 PM | CMS103 | Court 16
02:00 PM - 02:30 PM | CMS104 | Court 17
02:00 PM - 02:30 PM | CMS105 | Court 17
02:00 PM - 02:30 PM | CMS106 | Court 11
02:00 PM - 02:30 PM | CMS107 | Court 12
02:00 PM - 02:30 PM | CMS108 | Court 13
02:00 PM - 02:30 PM | CMS109 | Court 14
02:00 PM - 02:30 PM | CMS110 | Court 1
02:00 PM - 02:30 PM | CMS111 | Court 2
02:00 PM - 02:30 PM | CMS112 | Court 3
02:00 PM - 02:30 PM | BMS2   | Court 4
02:00 PM - 02:30 PM | BMS4   | Court 5
02:00 PM - 02:30 PM | BMS6   | Court 6
02:00 PM - 02:30 PM | BMS7   | Court 7
02:00 PM - 02:30 PM | BMS8   | Court 8
