=== MATCH SCHEDULE FOR SUNDAY ===
01:00 PM - 01:30 PM | DMD53  | Court 7
01:00 PM - 01:30 PM | DMD54  | Court 8
01:00 PM - 01:30 PM | DMD55  | Court 9
01:00 PM - 01:30 PM | DMD56  | Court 10
01:30 PM - 02:00 PM | DWD17  | Court 15
01:30 PM - 02:00 PM | DWD18  | Court 16
01:30 PM - 02:00 PM | DWD19  | Court 17
01:30 PM - 02:00 PM | DWD20  | Court 17
01:30 PM - 02:00 PM | DWD21  | Court 11
01:30 PM - 02:00 PM | DWD22  | Court 12
01:30 PM - 02:00 PM | DWD23  | Court 13
01:30 PM - 02:00 PM | DWD24  | Court 14
01:30 PM - 02:00 PM | BMD17  | Court 1
01:30 PM - 02:00 PM | BMD18  | Court 2
01:30 PM - 02:00 PM | BMD19  | Court 3
01:30 PM - 02:00 PM | BMD20  | Court 4
01:30 PM - 02:00 PM | BMD21  | Court 5
01:30 PM - 02:00 PM | BMD22  | Court 6
01:30 PM - 02:00 PM | BMD23  | Court 7
01:30 PM - 02:00 PM | BMD24  | Court 8
01:30 PM - 02:00 PM | CMD49  | Court 9
01:30 PM - 02:00 PM | CMD50  | Court 10
02:00 PM - 02:30 PM | CMD51  | Court 15
02:00 PM - 02:30 PM | CMD52  | Court 16
02:00 PM - 02:30 PM | CMD53  | Court 17
02:00 PM - 02:30 PM | CMD54  | Court 17
02:00 PM - 02:30 PM | CMD55  | Court 11
02:00 PM - 02:30 PM | CMD56  | Court 12
02:00 PM - 02:30 PM | AMD17  | Court 1
02:00 PM - 02:30 PM | AMD18  | Court 2
02:00 PM - 02:30 PM | AMD19  | Court 3
02:00 PM - 02:30 PM | AMD20  | Court 4
02:00 PM - 02:30 PM | AMD21  | Court 5
02:00 PM - 02:30 PM | AMD22  | Court 6
02:00 PM - 02:30 PM | AMD23  | Court 7
02:00 PM - 02:30 PM | AMD24  | Court 8
02:00 PM - 02:30 PM | CWD17  | Court 13
02:00 PM - 02:30 PM | CWD18  | Court 14
02:00 PM - 02:30 PM | CWD19  | Court 9
02:00 PM - 02:30 PM | CWD20  | Court 10
02:30 PM - 03:00 PM | CWD21  | Court 15
02:30 PM - 03:00 PM | CWD22  | Court 16
02:30 PM - 03:00 PM | CWD23  | Court 17
02:30 PM - 03:00 PM | CWD24  | Court 17
02:30 PM - 03:00 PM | ABWD2  | Court 1
02:30 PM - 03:00 PM | DMD57  | Court 11
02:30 PM - 03:00 PM | DMD58  | Court 12
02:30 PM - 03:00 PM | DMD59  | Court 13
02:30 PM - 03:00 PM | DMD60  | Court 14
02:30 PM - 02:40 PM | DMD67  | Court 2
02:30 PM - 02:40 PM | DMD69  | Court 3
02:30 PM - 02:40 PM | DMD71  | Court 4
02:30 PM - 02:40 PM | DMD72  | Court 5
02:30 PM - 02:40 PM | DMD74  | Court 6
02:30 PM - 02:40 PM | DMD76  | Court 7
02:30 PM - 02:40 PM | DMD78  | Court 8
02:30 PM - 02:40 PM | DMD80  | Court 9
02:30 PM - 02:40 PM | DMD81  | Court 10
02:40 PM - 02:50 PM | DMD82  | Court 2
02:40 PM - 02:50 PM | DMD84  | Court 3
02:40 PM - 02:50 PM | DMD86  | Court 4
02:40 PM - 02:50 PM | DMD89  | Court 5
02:40 PM - 02:50 PM | DMD91  | Court 6
02:40 PM - 02:50 PM | DMD93  | Court 7
02:40 PM - 02:50 PM | DMD95  | Court 8
02:40 PM - 03:10 PM | DWD25  | Court 9
02:40 PM - 03:10 PM | DWD26  | Court 10
02:50 PM - 03:20 PM | DWD27  | Court 2
02:50 PM - 03:20 PM | DWD28  | Court 3
02:50 PM - 03:20 PM | BMD25  | Court 4
02:50 PM - 03:20 PM | BMD26  | Court 5
02:50 PM - 03:20 PM | BMD27  | Court 6
02:50 PM - 03:20 PM | BMD28  | Court 7
02:50 PM - 03:20 PM | CMD57  | Court 8
03:00 PM - 03:30 PM | CMD58  | Court 15
03:00 PM - 03:30 PM | CMD59  | Court 16
03:00 PM - 03:30 PM | CMD60  | Court 17
03:00 PM - 03:10 PM | CMD65  | Court 17
03:00 PM - 03:10 PM | CMD67  | Court 11
03:00 PM - 03:10 PM | CMD69  | Court 12
03:00 PM - 03:10 PM | CMD71  | Court 13
03:00 PM - 03:10 PM | CMD72  | Court 14
03:00 PM - 03:10 PM | CMD73  | Court 1
03:10 PM - 03:20 PM | CMD74  | Court 17
03:10 PM - 03:20 PM | CMD76  | Court 11
03:10 PM - 03:20 PM | CMD78  | Court 12
03:10 PM - 03:20 PM | CMD80  | Court 13
03:10 PM - 03:20 PM | CMD82  | Court 14
03:10 PM - 03:20 PM | CMD84  | Court 1
03:10 PM - 03:20 PM | CMD86  | Court 9
03:10 PM - 03:20 PM | CMD91  | Court 10
03:20 PM - 03:30 PM | CMD93  | Court 17
03:20 PM - 03:30 PM | CMD95  | Court 11
03:20 PM - 03:50 PM | AMD25  | Court 1
03:20 PM - 03:50 PM | AMD26  | Court 2
03:20 PM - 03:50 PM | AMD27  | Court 3
03:20 PM - 03:50 PM | AMD28  | Court 4
03:20 PM - 03:50 PM | CWD25  | Court 12
03:20 PM - 03:50 PM | CWD26  | Court 13
03:20 PM - 03:50 PM | CWD27  | Court 14
03:20 PM - 03:50 PM | CWD28  | Court 5
03:20 PM - 03:50 PM | ABWD3  | Court 6
03:20 PM - 03:50 PM | ABWD4  | Court 7
03:20 PM - 03:30 PM | DMD96  | Court 8
03:20 PM - 03:30 PM | DMD97  | Court 9
03:20 PM - 03:30 PM | DMD98  | Court 10
03:30 PM - 03:40 PM | DMD99  | Court 15
03:30 PM - 03:40 PM | DMD100 | Court 16
03:30 PM - 03:40 PM | DMD101 | Court 17
03:30 PM - 03:40 PM | DMD102 | Court 17
03:30 PM - 03:40 PM | DMD103 | Court 11
03:30 PM - 03:40 PM | DWD32  | Court 8
03:30 PM - 03:40 PM | DWD33  | Court 9
03:30 PM - 03:40 PM | DWD34  | Court 10
03:40 PM - 03:50 PM | DWD35  | Court 15
03:40 PM - 03:50 PM | DWD36  | Court 16
03:40 PM - 03:50 PM | DWD37  | Court 17
03:40 PM - 03:50 PM | DWD38  | Court 17
03:40 PM - 03:50 PM | DWD39  | Court 11
03:40 PM - 03:50 PM | BMD33  | Court 8
03:40 PM - 03:50 PM | BMD35  | Court 9
03:40 PM - 03:50 PM | BMD36  | Court 10
03:50 PM - 04:00 PM | BMD37  | Court 15
03:50 PM - 04:00 PM | BMD38  | Court 16
03:50 PM - 04:00 PM | BMD40  | Court 17
03:50 PM - 04:00 PM | BMD42  | Court 17
03:50 PM - 04:00 PM | BMD47  | Court 11
03:50 PM - 04:00 PM | CMD96  | Court 12
03:50 PM - 04:00 PM | CMD97  | Court 13
03:50 PM - 04:00 PM | CMD98  | Court 14
03:50 PM - 04:00 PM | CMD99  | Court 1
03:50 PM - 04:00 PM | CMD100 | Court 2
03:50 PM - 04:00 PM | CMD101 | Court 3
03:50 PM - 04:00 PM | CMD102 | Court 4
03:50 PM - 04:00 PM | CMD103 | Court 5
03:50 PM - 04:00 PM | AMD44  | Court 6
03:50 PM - 04:00 PM | CWD40  | Court 7
03:50 PM - 04:00 PM | CWD41  | Court 8
03:50 PM - 04:00 PM | CWD42  | Court 9
03:50 PM - 04:00 PM | CWD43  | Court 10
04:00 PM - 04:10 PM | CWD44  | Court 15
04:00 PM - 04:10 PM | CWD45  | Court 16
04:00 PM - 04:10 PM | CWD46  | Court 17
04:00 PM - 04:10 PM | CWD47  | Court 17
04:00 PM - 04:30 PM | ABWD5  | Court 1
04:00 PM - 04:30 PM | DMD61  | Court 11
04:00 PM - 04:30 PM | DMD62  | Court 12
04:00 PM - 04:10 PM | DMD104 | Court 13
04:00 PM - 04:10 PM | DMD105 | Court 14
04:00 PM - 04:10 PM | DMD106 | Court 2
04:00 PM - 04:10 PM | DMD107 | Court 3
04:00 PM - 04:30 PM | DWD29  | Court 4
04:00 PM - 04:30 PM | DWD30  | Court 5
04:00 PM - 04:10 PM | DWD48  | Court 6
04:00 PM - 04:10 PM | DWD49  | Court 7
04:00 PM - 04:10 PM | DWD50  | Court 8
04:00 PM - 04:10 PM | DWD51  | Court 9
04:00 PM - 04:30 PM | BMD29  | Court 10
04:10 PM - 04:40 PM | BMD30  | Court 13
04:10 PM - 04:20 PM | BMD48  | Court 15
04:10 PM - 04:20 PM | BMD49  | Court 16
04:10 PM - 04:20 PM | BMD50  | Court 17
04:10 PM - 04:20 PM | BMD51  | Court 17
04:10 PM - 04:40 PM | CMD61  | Court 14
04:10 PM - 04:40 PM | CMD62  | Court 2
04:10 PM - 04:20 PM | CMD104 | Court 3
04:10 PM - 04:20 PM | CMD105 | Court 6
04:10 PM - 04:20 PM | CMD106 | Court 7
04:10 PM - 04:20 PM | CMD107 | Court 8
04:10 PM - 04:40 PM | AMD29  | Court 9
04:20 PM - 04:50 PM | AMD30  | Court 3
04:20 PM - 04:30 PM | AMD48  | Court 6
04:20 PM - 04:30 PM | AMD49  | Court 7
04:20 PM - 04:30 PM | AMD50  | Court 8
04:20 PM - 04:50 PM | CWD29  | Court 15
04:20 PM - 04:50 PM | CWD30  | Court 16
04:20 PM - 04:30 PM | CWD48  | Court 17
04:20 PM - 04:30 PM | CWD49  | Court 17
04:30 PM - 04:40 PM | AMD51  | Court 11
04:30 PM - 04:40 PM | CWD50  | Court 17
04:30 PM - 04:40 PM | CWD51  | Court 17
04:30 PM - 05:00 PM | ABWD6  | Court 1
04:30 PM - 04:40 PM | DMD108 | Court 12
04:30 PM - 04:40 PM | DMD109 | Court 4
04:30 PM - 04:40 PM | DWD52  | Court 5
04:30 PM - 04:40 PM | DWD53  | Court 6
04:30 PM - 04:40 PM | BMD52  | Court 7
04:30 PM - 04:40 PM | BMD53  | Court 8
04:30 PM - 04:40 PM | CMD108 | Court 10
04:40 PM - 04:50 PM | CMD109 | Court 17
04:40 PM - 04:50 PM | AMD52  | Court 11
04:40 PM - 04:50 PM | CWD52  | Court 17
04:40 PM - 04:50 PM | ABWD9  | Court 12
04:40 PM - 04:50 PM | ABWD10 | Court 13
04:40 PM - 05:10 PM | DMD63  | Court 14
04:40 PM - 05:10 PM | DWD31  | Court 2
04:50 PM - 05:00 PM | AMD53  | Court 11
04:50 PM - 05:00 PM | CWD53  | Court 15
04:50 PM - 05:20 PM | DMD110 | Court 12
04:50 PM - 05:20 PM | DWD54  | Court 13
04:50 PM - 05:20 PM | BMD31  | Court 3
04:50 PM - 05:20 PM | BMD54  | Court 4
04:50 PM - 05:20 PM | CMD63  | Court 16
05:00 PM - 05:30 PM | CMD110 | Court 11
05:00 PM - 05:30 PM | AMD31  | Court 1
05:00 PM - 05:30 PM | CWD31  | Court 15
05:00 PM - 05:30 PM | ABWD12 | Court 5
05:10 PM - 05:40 PM | AMD54  | Court 2
05:10 PM - 05:40 PM | CWD54  | Court 14
05:10 PM - 05:40 PM | ABWD7  | Court 6
